2
scanner.py
void	line 0 Cols 1 - 4 is T_VOID
main	line 0 Cols 6 - 9 is T_ID
(	line 0 Cols 10 - 10 is T_LPAREN
)	line 0 Cols 11 - 11 is T_RPAREN
{	line 0 Cols 13 - 13 is T_LCB
int	line 1 Cols 3 - 5 is T_INTTYPE
c	line 1 Cols 7 - 7 is T_ID
;	line 1 Cols 8 - 8 is T_SEMICOLON
string	line 2 Cols 3 - 8 is T_STRINGTYPE
s	line 2 Cols 10 - 10 is T_ID
;	line 2 Cols 11 - 11 is T_SEMICOLON
s	line 5 Cols 3 - 3 is T_ID
=	line 5 Cols 5 - 5 is T_ASSIGN
"hello"	line 5 Cols 7 - 7 is T_STRINGCONSTANT (value= "hello")
";"	line 5 Cols 13 - 13 is T_STRINGCONSTANT (value= ";")
c	line 6 Cols 3 - 3 is T_ID
=	line 6 Cols 5 - 5 is T_ASSIGN
test	line 6 Cols 7 - 10 is T_ID
(	line 6 Cols 11 - 11 is T_LPAREN
4	line 6 Cols 12 - 12 is T_UNKNOWN
,	line 6 Cols 13 - 13 is T_COMMA
5	line 6 Cols 15 - 15 is T_UNKNOWN
)	line 6 Cols 16 - 16 is T_RPAREN
;	line 6 Cols 17 - 17 is T_SEMICOLON
Print	line 7 Cols 3 - 7 is T_ID
(	line 7 Cols 8 - 8 is T_LPAREN
c	line 7 Cols 9 - 9 is T_ID
)	line 7 Cols 10 - 10 is T_RPAREN
;	line 7 Cols 11 - 11 is T_SEMICOLON
Print	line 8 Cols 3 - 7 is T_ID
(	line 8 Cols 8 - 8 is T_LPAREN
s	line 8 Cols 9 - 9 is T_ID
)	line 8 Cols 10 - 10 is T_RPAREN
;	line 8 Cols 11 - 11 is T_SEMICOLON
}	line 9 Cols 1 - 1 is T_RCB
int	line 11 Cols 1 - 3 is T_INTTYPE
test	line 11 Cols 5 - 8 is T_ID
(	line 11 Cols 9 - 9 is T_LPAREN
int	line 11 Cols 10 - 12 is T_INTTYPE
a	line 11 Cols 14 - 14 is T_ID
,	line 11 Cols 15 - 15 is T_COMMA
int	line 11 Cols 17 - 19 is T_INTTYPE
b	line 11 Cols 21 - 21 is T_ID
)	line 11 Cols 22 - 22 is T_RPAREN
{	line 11 Cols 24 - 24 is T_LCB
return	line 12 Cols 3 - 8 is T_RETURN
a	line 12 Cols 10 - 10 is T_ID
+	line 12 Cols 12 - 12 is T_PLUS
b	line 12 Cols 14 - 14 is T_ID
;	line 12 Cols 15 - 15 is T_SEMICOLON
}	line 13 Cols 1 - 1 is T_RCB
